id;title;description;link;image_link;condition;availability;product_type;google_product_category;price;sale_price;brand;mpn
EXP49;"Mese suprapuse, 2 buc., lemn reciclat";"Aduceți o notă de farmec rustic în decorul casei dvs. cu aceste măsuțe suprapuse, distincte și elegante! Format din 2 mese laterale din lemn de dimensiuni diferite, acest set de mese suprapuse va aduce o completare minunată decorului din casa dvs.";https://woodbeback.ro/bucatarie-si-dining/49-mese-suprapuse-2-buc-lemn-masiv-reciclat.html;https://woodbeback.ro/246-large_default/mese-suprapuse-2-buc-lemn-masiv-reciclat.jpg;new;"in stock";"HoReCa>Hoteluri si pensiuni";436;"254.18 RON";"254.18 RON";vidaXL;VX283922
EXP50;"Măsuță de cafea, 100x50x45 cm, lemn reciclat";"Această măsuță de cafea din lemn, în stil clasic, emană un farmec vintage și aduce o completare mereu la modă interiorului casei dvs. Această măsuță de cafea este fabricată din MDF și lemn masiv reciclat, care a fost obținut din traverse, podele și grinzi de sprijin din clădirile vechi demolate.";https://woodbeback.ro/masute-cafea/50-masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/254-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;new;"in stock";"HoReCa>Hoteluri si pensiuni";436;"929.63 RON";"929.63 RON";vidaXL;VX287857
EXP51;"Bancă, 160 cm, lemn reciclat";"Această bancă din lemn în stil industrial va fi o piesă atrăgătoare în bucătăria sau sufrageria dvs. Această banchetă pentru masă este realizată din lemn masiv reciclat, fiind stabilă și durabilă. Lemnul recuperat are caracteristicile diferitelor tipuri de lemn, cum ar fi lemnul de tec, lemnul de mango, lemnul de acacia etc.";https://woodbeback.ro/banci/51-banca-160-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/262-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;new;"in stock";"Hol sau vestibul>Banci";6851;"694.01 RON";"694.01 RON";vidaXL;VX247954
EXP52;"Rafturi de perete, 2 buc., 80 cm, lemn reciclat";"Acest set de 2 rafturi de perete din lemn, în stil industrial, combină perfect stilul și funcționalitatea. Este, de asemenea, o opțiune excelentă pentru a decora orice perete din cameră. Acest set de rafturi de perete este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate.";https://woodbeback.ro/rafturi-de-perete/52-rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/270-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;new;"in stock";"Living>Rafturi de perete";6372;"415.55 RON";"415.55 RON";vidaXL;VX320671
EXP54;"Masă consolă 90,5x30x75cm lemn masiv de acacia și lemn reciclat";"Dacă sunteți în căutarea unei note simple de farmec rustic pentru interiorul locuinței dvs., această masă consolă din lemn este exact ceea ce aveți nevoie. Această masă de hol este realizată din lemn masiv de acacia și lemn masiv reciclat. Lemnul recuperat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate.";https://woodbeback.ro/mese-de-hol-console/54-masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.html;https://woodbeback.ro/286-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;new;"in stock";"Hol sau vestibul>Mese de hol (console)";436;"753.98 RON";"753.98 RON";vidaXL;VX320381
EXP57;"Măsuță de cafea, alb, 68x68x30 cm, lemn reciclat";"Această masă de cafea unică prezintă un design deosebit, îmbunătățind decorul existent în spațiul dvs. de locuit. Această masă pentru canapea este fabricată din lemn masiv reciclat și fier. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate.";https://woodbeback.ro/masute-cafea/57-masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/310-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;new;"in stock";"HoReCa>Hoteluri si pensiuni";436;"899.64 RON";"899.64 RON";vidaXL;VX323534
EXP58;"Bancă, 115 cm, lemn reciclat";"Această bancă din lemn în stil vintage adaugă o notă de farmec antic și aduce camerei dvs. o completare mereu la modă. Banca este realizată manual din lemn masiv reciclat, o combinație de cherestea reciclată, inclusiv tec, lemn de mango, lemn de pin, fag etc. Lemnul acesta a fost reciclat din clădiri vechi, cum ar fi fabrici, magazii și bărci.";https://woodbeback.ro/banci/58-banca-115-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/318-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;new;"in stock";"Hol sau vestibul>Banci";6851;"905.35 RON";"905.35 RON";vidaXL;VX326182
EXP60;"Taburet, lemn reciclat";"Acest taburet din lemn, în stil antichizat, vă va oferi cu siguranță un confort maxim la ședere. Structura simplă din lemn masiv oferă o rezistență ridicată, în timp ce modelul natural al fibrelor face din fiecare scaun o piesă unică. Acest taburet retro este fabricat din lemn reciclat, astfel încât fiecare piesă de mobilier este unică și ușor diferită de celelalte.";https://woodbeback.ro/tabureti/60-taburet-lemn-masiv-reciclat.html;https://woodbeback.ro/334-large_default/taburet-lemn-masiv-reciclat.jpg;new;"in stock";"Bucatarie si dining>Tabureti";1463;"549.78 RON";"549.78 RON";vidaXL;VX241627
EXP62;"Masă de bucătărie, 120 cm, lemn reciclat";"Această uimitoare masă de bucătărie din lemn, în stil industrial, va fi un element de decor atrăgător în bucătăria sau sufrageria dvs. Această masă de bucătărie este fabricată din lemn masiv reciclat, ceea ce înseamnă că prezintă caracteristicile unor tipuri diferite de lemn, precum lemnul de tec, mango, acacia etc. Lemnul reciclat este solid, stabil, durabil și frumos.";https://woodbeback.ro/mese-bucatarie/62-masa-de-bucatarie-120-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/350-large_default/masa-de-bucatarie-120-cm-lemn-masiv-reciclat.jpg;new;"in stock";"Bucatarie si dining>Mese bucatarie";4355;"996.74 RON";"996.74 RON";vidaXL;VX243998
EXP63;"Măsuță de cafea, 70 x 70 x 35 cm, lemn reciclat";"Această măsuță de cafea în stil antichizat, realizată din lemn masiv reciclat, va aduce o completare mereu la modă casei dvs. De asemenea, poate fi folosită ca masă de canapea, masă pentru camera de zi și masă laterală etc.";https://woodbeback.ro/masute-cafea/63-masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/358-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;new;"in stock";"HoReCa>Hoteluri si pensiuni";436;"985.32 RON";"985.32 RON";vidaXL;VX243306
EXP64;"Măsuță de cafea, lemn reciclat";"Această măsuță de cafea din lemn, în stil industrial, are un farmec vintage, fiind o completare mereu la modă pentru locuința dvs. Măsuța de cafea poate fi folosită ca masă pentru canapea, masă pentru camera de zi, masă laterală, noptieră, suport pentru plante sau suport de telefon.";https://woodbeback.ro/masute-cafea/64-masuta-de-cafea-lemn-masiv-reciclat.html;https://woodbeback.ro/366-large_default/masuta-de-cafea-lemn-masiv-reciclat.jpg;new;"in stock";"Living>Masute cafea";1395;"705.43 RON";"705.43 RON";vidaXL;VX244230
EXP65;"Taburet, lemn reciclat";"Acest taburet robust din lemn va fi un accesoriu mereu la modă pentru căminul dvs. Fiind fabricat din lemn masiv reciclat, acest taburet păstrează caracteristicile unor tipuri diferite de lemn, precum mahon, tec, mango, acacia etc. Puteți găsi orificii lăsate de cuie, șuruburi sau bolțuri, împreună cu alte imperfecțiuni, care îi subliniază autenticitatea.";https://woodbeback.ro/tabureti/65-taburet-lemn-masiv-reciclat.html;https://woodbeback.ro/374-large_default/taburet-lemn-masiv-reciclat.jpg;new;"in stock";Living>Tabureti;3358;"225.62 RON";"225.62 RON";vidaXL;VX244508
EXP66;"Măsuță de cafea, 60x40 cm, lemn reciclat";"Această măsuță de cafea din lemn, în stil industrial, emană un farmec vintage și va aduce un plus izbitor casei dvs. Măsuța de cafea poate fi folosită și ca măsuță de canapea sau măsuță de capăt.";https://woodbeback.ro/masute-cafea/66-masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.html;https://woodbeback.ro/378-large_default/masuta-de-cafea-60x40-cm-lemn-masiv-reciclat.jpg;new;"in stock";"Living>Masute cafea";1395;"614.04 RON";"614.04 RON";vidaXL;VX244672
