Manufacturer;Name;Category;ProductUrl;description_short;Description;ImageUrl;condition;stock;Price;Identifier
vidaXL;"Mese suprapuse, 2 buc., lemn reciclat";"HoReCa>Hoteluri si pensiuni";https://woodbeback.ro/bucatarie-si-dining/49-mese-suprapuse-2-buc-lemn-masiv-reciclat.html;"Aduceți o notă de farmec rustic în decorul casei dvs. cu aceste măsuțe suprapuse, distincte și elegante! Format din 2 mese laterale din lemn de dimensiuni diferite, acest set de mese suprapuse va aduce o completare minunată decorului din casa dvs.";"<p>Aduceți o notă de farmec rustic în decorul casei dvs. cu aceste măsuțe suprapuse, distincte și elegante! Format din 2 mese laterale din lemn de dimensiuni diferite, acest set de mese suprapuse va aduce o completare minunată decorului din casa dvs.</p>
<p></p>
<p>Setul de mese suprapuse este confecționat din lemn masiv reciclat, obținut din copaci căzuți, platforme de lemn, lemn provenit din bărci, traverse, podele și grinzi de susținere din clădirile vechi demolate și poate consta din diferite tipuri de lemn precum mahon, pin, tec, fag, stejar, cedru, lemn de mango, acacia etc. Aceasta înseamnă că lemnul recuperat păstrează caracteristicile acestor tipuri diferite de lemn și puteți găsi cuie, șuruburi, cavități precum și alte imperfecțiuni, dar aceste imperfecțiuni indică istoria bogată a lemnului și dau piesei de mobilier un aspect cald și autentic. Setul de mese este complet realizat manual și fiecare etapă a procesului de fabricație este realizată cu cea mai mare atenție, fie că este vorba de lustruire, vopsire sau lăcuire. În plus, aceste mese suprapuse pot fi de asemenea utilizate ca măsuțe de cafea, mese de canapea, mese pentru camera de zi, noptiere etc.</p>
<p></p>
<p>Notă importantă: Pachetul de livrare include 2 mese suprapuse.</p>
<ul>
<li>Material: Lemn masiv reciclat</li>
<li>Dimensiuni (mare): 40 x 40 x 30 cm (L x l x î)</li>
<li>Dimensiuni (mică): 27 x 20 x 23 cm (L x l x î)</li>
<li>Lustruit, vopsit și lăcuit</li>
<li>Ușor de curățat cu o cârpă umedă</li>
<li>Livrarea include 2 mese suprapuse</li>
</ul>";https://woodbeback.ro/247-large_default/mese-suprapuse-2-buc-lemn-masiv-reciclat.jpg;new;47;"254.18 RON";VX283922
vidaXL;"Măsuță de cafea, 100x50x45 cm, lemn reciclat";"Living>Masute cafea";https://woodbeback.ro/masute-cafea/50-masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.html;"Această măsuță de cafea din lemn, în stil clasic, emană un farmec vintage și aduce o completare mereu la modă interiorului casei dvs. Această măsuță de cafea este fabricată din MDF și lemn masiv reciclat, care a fost obținut din traverse, podele și grinzi de sprijin din clădirile vechi demolate.";"<p>Această măsuță de cafea din lemn, în stil clasic, emană un farmec vintage și aduce o completare mereu la modă interiorului casei dvs.</p>
<p></p>
<p>Această măsuță de cafea este fabricată din MDF și lemn masiv reciclat, care a fost obținut din traverse, podele și grinzi de sprijin din clădirile vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Aceasta înseamnă că lemnul reciclat păstrează caracteristicile diferitelor tipuri de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Datorită granulației frumoase a lemnului, fiecare piesă de mobilier este unică și ușor diferită de celelalte. În plus, masa de canapea asigură spațiu pentru depozitarea cărților, carnetelor, pixurilor, precum și a diferitelor mărunțișuri. Această masă pentru camera de zi este, de asemenea, ușor de asamblat.</p>
<p></p>
<p>Notă importantă: Culoarea poate varia de la o piesă la alta, făcând fiecare piesă unică. Livrarea este aleatorie.</p>
<ul>
<li>Culoare: Negru și maro</li>
<li>Material: Lemn masiv reciclat, MDF</li>
<li>Dimensiuni: 100 x 50 x 45 cm (L x l x î)</li>
<li>Cu 1 sertar și 4 rafturi</li>
<li>Asamblare necesară: Da</li>
</ul>";https://woodbeback.ro/255-large_default/masuta-de-cafea-100x50x45-cm-lemn-masiv-reciclat.jpg;new;8;"928.20 RON";VX287857
vidaXL;"Bancă, 160 cm, lemn reciclat";"Hol sau vestibul>Banci";https://woodbeback.ro/banci/51-banca-160-cm-lemn-masiv-reciclat.html;"Această bancă din lemn în stil industrial va fi o piesă atrăgătoare în bucătăria sau sufrageria dvs. Această banchetă pentru masă este realizată din lemn masiv reciclat, fiind stabilă și durabilă. Lemnul recuperat are caracteristicile diferitelor tipuri de lemn, cum ar fi lemnul de tec, lemnul de mango, lemnul de acacia etc.";"<p>Această bancă din lemn în stil industrial va fi o piesă atrăgătoare în bucătăria sau sufrageria dvs.</p><p> </p><p>Această banchetă pentru masă este realizată din lemn masiv reciclat, fiind stabilă și durabilă. Lemnul recuperat are caracteristicile diferitelor tipuri de lemn, cum ar fi lemnul de tec, lemnul de mango, lemnul de acacia etc., fiind deja învechit, erodat și uscat, astfel încât să nu se micșoreze sau să se îndoaie. Fiecare pas al procesului de fabricație se desfășoară cu cea mai mare atenție, fie că este vorba de lustruire, vopsire sau lăcuire. Picioarele solide din fier vopsit electrostatic oferă băncii o stabilitate suplimentară. Banca de hol este ușor de asamblat.</p><p> </p><p>Notă importantă: Culorile și fibrele lemnului variază de la o piesă la alta, fiecare dintre acestea fiind unică; livrarea este aleatorie.</p><ul><li>Material: Lemn masiv reciclat și fier vopsit electrostatic</li><li>Dimensiuni: 160 x 40 x 45 cm (l x ad. x î)</li><li>Lustruit, vopsit și lăcuit</li></ul>";https://woodbeback.ro/263-large_default/banca-160-cm-lemn-masiv-reciclat.jpg;new;7;"719.71 RON";VX247954
vidaXL;"Rafturi de perete, 2 buc., 80 cm, lemn reciclat";"Birou>Rafturi de perete";https://woodbeback.ro/rafturi-de-perete/52-rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.html;"Acest set de 2 rafturi de perete din lemn, în stil industrial, combină perfect stilul și funcționalitatea. Este, de asemenea, o opțiune excelentă pentru a decora orice perete din cameră. Acest set de rafturi de perete este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate.";"<p>Acest set de 2 rafturi de perete din lemn, în stil industrial, combină perfect stilul și funcționalitatea. Este, de asemenea, o opțiune excelentă pentru a decora orice perete din cameră.</p><p> </p><p>Acest set de rafturi de perete este realizat din lemn masiv reciclat, provenit din traverse, podele și grinzi de susținere din clădiri vechi demolate. În plus, poate conține diferite tipuri de lemn, precum lemn de tec, lemn de esență tare, lemn tropical, lemn de mango etc. Acest lucru înseamnă că lemnul reciclat păstrează caracteristicile acestor tipuri diferite de lemn. Lemnul reciclat este deja învechit, erodat și uscat și, prin urmare, nu se contractă și nu se îndoaie. Cadrul din fier negru vopsit electrostatic asigură stabilitatea. Fiecare raft de perete are o capacitate de încărcare de 30 kg.</p><ul><li>Material: Lemn masiv reciclat, cu finisaj multicolor, fier cu finisaj negru vopsit electrostatic</li><li>Dimensiuni: 80 x 17 x 17 cm (l x ad. x î)</li><li>Capacitate de încărcare: 30 kg</li><li>Asamblare necesară: Da</li><li><strong>Pachetul de livrare conține:</strong></li><li>2 x Raft de perete</li></ul>";https://woodbeback.ro/271-large_default/rafturi-de-perete-2-buc-80-cm-lemn-masiv-reciclat.jpg;new;3;"415.55 RON";VX320671
vidaXL;"Masă consolă 90,5x30x75cm lemn masiv de acacia și lemn reciclat";"Hol sau vestibul>Mese de hol (console)";https://woodbeback.ro/mese-de-hol-console/54-masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.html;"Dacă sunteți în căutarea unei note simple de farmec rustic pentru interiorul locuinței dvs., această masă consolă din lemn este exact ceea ce aveți nevoie. Această masă de hol este realizată din lemn masiv de acacia și lemn masiv reciclat. Lemnul recuperat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate.";"<p>Dacă sunteți în căutarea unei note simple de farmec rustic pentru interiorul locuinței dvs., această masă consolă din lemn este exact ceea ce aveți nevoie.</p><p> </p><p>Această masă de hol este realizată din lemn masiv de acacia și lemn masiv reciclat. Lemnul recuperat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Astfel, masa include diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Acest lucru înseamnă și că lemnul recuperat păstrează caracteristicile acestor tipuri de lemn. Lemnul reciclat este deja învechit, erodat și uscat, astfel că nu se contractă și nu se curbează. Această masă laterală are 2 sertare, oferind spațiu amplu pentru a păstra diferite obiecte bine organizate.</p><p> </p><p>Notă importantă: culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare masă de hol din lemn fiind unică.</p><ul><li>Material: Lemn masiv de acacia cu finisaj natural, lemn masiv reciclat cu finisaj natural</li><li>Dimensiuni totale: 90,5 x 30 x 75 cm (l x ad. x î)</li><li>Dimensiuni sertar: 27 x 20 x 7 cm (l x ad. x î)</li><li>Asamblare necesară: Da</li><li><strong>AVERTISMENT</strong>: Pentru a preveni răsturnarea, acest produs trebuie utilizat împreună cu dispozitivul de prindere pe perete inclus</li><li class=""\&quot;legalDocument\&quot;"">Legal Documents:<br /><p><span>Mai multe detalii despre prevenirea răsturnării mobilierului tău pot fi găsite <span><strong><a title=""\&quot;https://bit.ly/3wwwXYy\&quot;"" href=""%5C"">aici</a></strong></span></span></p></li></ul>";https://woodbeback.ro/287-large_default/masa-consola-905x30x75cm-lemn-masiv-de-acacia-si-lemn-reciclat.jpg;new;0;"752.56 RON";VX320381
vidaXL;"Măsuță de cafea, alb, 68x68x30 cm, lemn reciclat";"Living>Masute cafea";https://woodbeback.ro/masute-cafea/57-masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.html;"Această masă de cafea unică prezintă un design deosebit, îmbunătățind decorul existent în spațiul dvs. de locuit. Această masă pentru canapea este fabricată din lemn masiv reciclat și fier. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate.";"<p>Această masă de cafea unică prezintă un design deosebit, îmbunătățind decorul existent în spațiul dvs. de locuit.</p>
<p></p>
<p>Această masă pentru canapea este fabricată din lemn masiv reciclat și fier. Lemnul reciclat provine din grinzi, podele și bârne de susținere din clădiri vechi demolate. Deci, poate consta din diferite tipuri de lemn, cum ar fi pin, tec, stejar, lemn de mango, acacia, etc. Aceasta înseamnă, de asemenea, că lemnul recuperat păstrează caracteristicile acestor tipuri de esențe. Lemnul recuperat este deja învechit, degradat și uscat, deci nu se contractă și nu se curbează. În plus, baza de fier îi sporește rezistența și stabilitatea. Blatul solid oferă o suprafață stabilă și sigură pentru diferitele obiecte necesare.</p>
<p></p>
<p>Notă importantă: Culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare masă centrală fiind unică.</p>
<ul>
<li>Material: Lemn masiv reciclat cu finisaj de culoare mixtă, fier cu finisaj alb</li>
<li>Dimensiuni: 68 x 68 x 30 cm (L x l x î)</li>
<li>Asamblare necesară: Nu</li>
</ul>";https://woodbeback.ro/311-large_default/masuta-de-cafea-alb-68x68x30-cm-lemn-masiv-reciclat.jpg;new;13;"898.21 RON";VX323534
vidaXL;"Bancă, 115 cm, lemn reciclat";"Hol sau vestibul>Banci";https://woodbeback.ro/banci/58-banca-115-cm-lemn-masiv-reciclat.html;"Această bancă din lemn în stil vintage adaugă o notă de farmec antic și aduce camerei dvs. o completare mereu la modă. Banca este realizată manual din lemn masiv reciclat, o combinație de cherestea reciclată, inclusiv tec, lemn de mango, lemn de pin, fag etc. Lemnul acesta a fost reciclat din clădiri vechi, cum ar fi fabrici, magazii și bărci.";"<p>Această bancă din lemn în stil vintage adaugă o notă de farmec antic și aduce camerei dvs. o completare mereu la modă.</p><p> </p><p>Banca este realizată manual din lemn masiv reciclat, o combinație de cherestea reciclată, inclusiv tec, lemn de mango, lemn de pin, fag etc. Lemnul acesta a fost reciclat din clădiri vechi, cum ar fi fabrici, magazii și bărci. Acest lucru îl face o opțiune ecologică fantastică pentru confecționarea mobilierului. Deoarece fiecare piesă este realizată manual, culorile variază, având multe nuanțe de albastru, verde, roșu și galben.</p><p> </p><p>Notă importantă: Culoarea și granulația lemnului pot varia de la o piesă la alta, fiecare dintre ele fiind unică și ușor diferită de următoarea; livrarea este aleatorie.</p><ul><li>Culoare: Multicolor</li><li>Material: Lemn masiv reciclat cu finisaj din lemn pentru bărci</li><li>Dimensiuni: 115 x 51 x 80 cm (l x ad. x î)</li><li>Înălțime șezut față de sol: 45 cm</li><li>Înălțime cotieră față de sol: 60 cm</li><li>Asamblare necesară: Da</li></ul>";https://woodbeback.ro/319-large_default/banca-115-cm-lemn-masiv-reciclat.jpg;new;78;"945.34 RON";VX326182
vidaXL;"Taburet, lemn reciclat";Living>Tabureti;https://woodbeback.ro/tabureti/60-taburet-lemn-masiv-reciclat.html;"Acest taburet din lemn, în stil antichizat, vă va oferi cu siguranță un confort maxim la ședere. Structura simplă din lemn masiv oferă o rezistență ridicată, în timp ce modelul natural al fibrelor face din fiecare scaun o piesă unică. Acest taburet retro este fabricat din lemn reciclat, astfel încât fiecare piesă de mobilier este unică și ușor diferită de celelalte.";"<p>Acest taburet din lemn, în stil antichizat, vă va oferi cu siguranță un confort maxim la ședere. Structura simplă din lemn masiv oferă o rezistență ridicată, în timp ce modelul natural al fibrelor face din fiecare scaun o piesă unică.</p><p> </p><p>Acest taburet retro este fabricat din lemn reciclat, astfel încât fiecare piesă de mobilier este unică și ușor diferită de celelalte. Mobilierul realizat din lemn reciclat prezintă caracteristici ale diferitelor tipuri de lemn, precum tec, acacia, lemn de mango, lemn de santal etc. Lemnul reciclat este rezistent, solid, durabil și atrăgător. Găurile cuielor sau fibrele bine definite își spun poveștile din trecut și invită generația următoare să intre în povestea lor. Decorându-vă casa cu acest taburet, veți demonstra atitudinea dvs. față de conservarea resurselor, protecția mediului și dezvoltarea sustenabilă.</p><p> </p><p>Măiestria execuției manuale aduce un stil spectaculos de epocă taburetului și vă va desfata cu un stil exotic. Fiecare proces de recombinare, lustruire, vopsire și ceruire este pregătit elaborat. Scaunul antic va fi cu siguranță un element de decor perfect pentru casa dvs!</p><p> </p><p>Notă importantă: Culorile pot varia de la o piesă la alta, fiecare scaun de bar fiind unic. Livrarea este aleatorie.</p><ul><li>Material: Lemn masiv reciclat multicolor</li><li>Dimensiuni totale: 30 x 45 cm (Φ x î)</li><li>Realizat exclusiv manual</li><li>Lustruit, parțial vopsit și ceruit</li></ul>";https://woodbeback.ro/335-large_default/taburet-lemn-masiv-reciclat.jpg;new;1;"548.35 RON";VX241627
vidaXL;"Masă de bucătărie, 120 cm, lemn reciclat";"Bucatarie si dining>Mese bucatarie";https://woodbeback.ro/mese-bucatarie/62-masa-de-bucatarie-120-cm-lemn-masiv-reciclat.html;"Această uimitoare masă de bucătărie din lemn, în stil industrial, va fi un element de decor atrăgător în bucătăria sau sufrageria dvs. Această masă de bucătărie este fabricată din lemn masiv reciclat, ceea ce înseamnă că prezintă caracteristicile unor tipuri diferite de lemn, precum lemnul de tec, mango, acacia etc. Lemnul reciclat este solid, stabil, durabil și frumos.";"<p>Această uimitoare masă de bucătărie din lemn, în stil industrial, va fi un element de decor atrăgător în bucătăria sau sufrageria dvs.</p><p> </p><p>Această masă de bucătărie este fabricată din lemn masiv reciclat, ceea ce înseamnă că prezintă caracteristicile unor tipuri diferite de lemn, precum lemnul de tec, mango, acacia etc. Lemnul reciclat este solid, stabil, durabil și frumos. Semnele de uzură și măiestria execuției oferă fiecărei piese un aspect unic și îmbogățesc stilul vintage spectaculos. Picioarele din oțel completează aspectul industrial. Fiecare pas al procesului este realizat cu atenție la detalii, fie că este vorba de lustruire sau lăcuire. Este ușor de asamblat.</p><p> </p><p>Notă importantă: Culorile variază de la piesă la piesă, fiecare dintre mesele noastre de bucătărie fiind unică; livrarea este aleatorie.</p><ul><li>Culoare: Multicolor</li><li>Material: Lemn masiv reciclat + oțel vopsit electrostatic</li><li>Dimensiuni: 120 x 60 x 76 cm (L x l x î)</li><li>Lustruit și lăcuit</li><li>Asamblare ușoară</li></ul>";https://woodbeback.ro/351-large_default/masa-de-bucatarie-120-cm-lemn-masiv-reciclat.jpg;new;9;"1081.00 RON";VX243998
vidaXL;"Măsuță de cafea, 70 x 70 x 35 cm, lemn reciclat";"Living>Masute cafea";https://woodbeback.ro/masute-cafea/63-masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.html;"Această măsuță de cafea în stil antichizat, realizată din lemn masiv reciclat, va aduce o completare mereu la modă casei dvs. De asemenea, poate fi folosită ca masă de canapea, masă pentru camera de zi și masă laterală etc.";"<p>Această măsuță de cafea în stil antichizat, realizată din lemn masiv reciclat, va aduce o completare mereu la modă casei dvs. De asemenea, poate fi folosită ca masă de canapea, masă pentru camera de zi și masă laterală etc. Blatul său din lemn solid formează o suprafață stabilă și sigură pe care puteți așeza băuturi, un coș de fructe, o vază sau alte obiecte decorative, iar datorită celor 4 rotile, aceasta poate fi așezată oriunde doriți, putând fi mutată cu ușurință.</p>
<p></p>
<p>Această măsuță de cafea este realizată din lemn masiv reciclat, ceea ce înseamnă că fiecare piesă de mobilier este unică și ușor diferită față de cealaltă. Mobila realizată din lemn reciclat are caracteristicile mai multor tipuri de lemn, cum ar fi lemnul de tec, de mango și acacia. Lemnul reciclat este solid, stabil, durabil, și frumos. Semnele de uzură și structura texturată vizibilă dau fiecărei piese de mobilier propria sa istorie și un aspect unic.</p>
<p></p>
<p>Măsuța de cafea este realizată exclusiv manual, iar măiestria execuției îmbogățește stilul retro spectaculos. Fiecare pas al procesului de lucru este realizat cu cea mai mare grijă, fie că este vorba de recombinare, lustruire, vopsire sau ceruire.</p>
<p></p>
<p>Notă importantă: Culorile variază de la piesă la piesă, fiecare dintre măsuțele noastre de cafea fiind unică. Livrarea este aleatorie, asigurând exclusivitatea și individualitatea produsului dumneavoastră.</p>
<ul>
<li>Material: Lemn masiv reciclat</li>
<li>Dimensiuni: 70 x 70 x 35 cm (L x l x î)</li>
<li>Cu 4 roți</li>
<li>Realizat complet manual</li>
<li>Lustruit, vopsit și lăcuit</li>
</ul>";https://woodbeback.ro/359-large_default/masuta-de-cafea-70-x-70-x-35-cm-lemn-masiv-reciclat.jpg;new;51;"983.89 RON";VX243306
